Signal,GPIO MUX 1,Signal Type 1,Default Value 1,GPIO MUX 2,Signal Type 2,Default Value 2,GPIO MUX 3,Signal Type 3,Default Value 3,GPIO MUX 4,Signal Type 4,Default Value 4,GPIO MUX 5,Signal Type 5,Default Value 5,GPIO MUX 6,Signal Type 6,Default Value 6,GPIO MUX 7,Signal Type 7,Default Value 7,GPIO MUX 8,Signal Type 8,Default Value 8,GPIO MUX 9,Signal Type 9,Default Value 9,GPIO MUX 10,Signal Type 10,Default Value 10,GPIO MUX 11,Signal Type 11,Default Value 11,GPIO MUX 12,Signal Type 12,Default Value 12,GPIO MUX 13,Signal Type 13,Default Value 13,GPIO MUX 14,Signal Type 14,Default Value 14,GPIO MUX 15,Signal Type 15,Default Value 15,GPIO MUX 16,Signal Type 16,Default Value 16,GPIO MUX 17,Signal Type 17,Default Value 17,GPIO MUX 18,Signal Type 18,Default Value 18,GPIO MUX 19,Signal Type 19,Default Value 19,GPIO MUX 20,Signal Type 20,Default Value 20,GPIO MUX 21,Signal Type 21,Default Value 21,GPIO MUX 22,Signal Type 22,Default Value 22,GPIO MUX 23,Signal Type 23,Default Value 23,GPIO MUX 24,Signal Type 24,Default Value 24,GPIO MUX 25,Signal Type 25,Default Value 25,GPIO MUX 26,Signal Type 26,Default Value 26,GPIO MUX 27,Signal Type 27,Default Value 27,GPIO MUX 28,Signal Type 28,Default Value 28,GPIO MUX 29,Signal Type 29,Default Value 29,GPIO MUX 30,Signal Type 30,Default Value 30,GPIO MUX 31,Signal Type 31,Default Value 31,IO Buffer
DP2_26,EPWM29A,O,,CAN8RX,I/O,,SPI6CLK,I/O,,SPI7PICO,I/O,,LIN6RX,I/O,,MCPWM2F,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP2_27,EPWM29B,O,,CAN9TX,I/O,,SPI6PICO,I/O,,SPI7POCI,I/O,,LIN7TX,I/O,,MCPWM3A,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP2_28,EPWM30A,O,,CAN9RX,I/O,,SPI6POCI,I/O,,SPI7CS0,I/O,,LIN7RX,I/O,,MCPWM3B,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP2_29,EPWM30B,O,,CAN10TX,I/O,,SPI6CS0,I/O,,SPI7CS1,I/O,,SDFM7CLK,I,,MCPWM3C,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP2_30,EPWM31A,O,,CAN10RX,I/O,,SPI6CS1,I/O,,SPI7CS2,I/O,,SDFM7DATA,I,,MCPWM3D,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP2_31,EPWM31B,O,,CAN11TX,I/O,,SPI6CS2,I/O,,SPI7CS3,I/O,,SDFM0CLK,I,,MCPWM3E,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_0,EPWMSYNCO,O,,CAN11RX,I/O,,SPI6CS3,I/O,,SPI8CLK,I/O,,SDFM0DATA,I,,MCPWM3F,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_1,SENT2TXRX,I/O,,SPI5POCI,I/O,,EPWM16A,O,,FSI3TXD0,I/O,,SPI4CLK,I/O,,ADC3EXTMUXSEL0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_2,SENT3TXRX,I/O,,SPI5CS0,I/O,,EPWM16B,O,,FSI3TXD1,I/O,,SPI4PICO,I/O,,ADC3EXTMUXSEL1,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_3,SENT4TXRX,I/O,,SPI5CS1,I/O,,EPWM17A,O,,FSI3RXCLK,I/O,,SPI4POCI,I/O,,ADC3EXTMUXSEL2,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
